,date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
360,2021-07-08 00:00:00,0,1020947.0,46354.0,637172.0,416.0,5237.0,0.0,357435.0
361,2021-06-10 00:00:00,10599,437514.0,5840.0,271132.0,0.0,2914.0,3330.0,161750.0
362,2021-12-27 00:00:00,403532,53137634.0,0.0,0.0,4047.0,1392463.0,0.0,0.0
363,2021-04-08 00:00:00,456,111236.0,454.0,5884.0,0.0,1982.0,0.0,102424.0
364,2021-02-02 00:00:00,1359,79594.0,1633.0,15903.0,0.0,1982.0,0.0,61682.0
365,2021-02-16 00:00:00,1811,98373.0,1548.0,29647.0,0.0,1982.0,1135.0,66590.0
366,2021-05-27 00:00:00,10981,272551.0,11099.0,145833.0,45.0,2488.0,32.0,119664.0
367,2021-01-14 00:00:00,372,64718.0,372.0,3838.0,0.0,1982.0,0.0,58635.0
368,2021-03-13 00:00:00,98,107510.0,98.0,16075.0,0.0,1982.0,0.0,88655.0
369,2021-01-30 00:00:00,4708,75265.0,5359.0,12167.0,0.0,1982.0,309.0,61484.0
370,2021-09-04 00:00:00,389289,20614449.0,20747.0,9280686.0,17705.0,682806.0,0.0,386837.0
371,2022-01-27 00:00:00,611174,70053307.0,0.0,0.0,3356.0,1506245.0,0.0,0.0
372,2021-09-17 00:00:00,475058,27062032.0,0.0,0.0,11207.0,868453.0,0.0,386837.0
373,2021-07-22 00:00:00,28,2872639.0,180246.0,3072899.0,0.0,12354.0,0.0,386837.0
374,2022-03-08 00:00:00,6478051,177581931.0,0.0,0.0,3146.0,1622977.0,0.0,0.0
375,2021-01-02 00:00:00,275,63040.0,229.0,3236.0,0.0,1982.0,297.0,57467.0
376,2021-02-08 00:00:00,2639,87000.0,2639.0,22692.0,0.0,1982.0,0.0,62075.0
377,2022-04-12 00:00:00,953750,399048921.0,0.0,0.0,958.0,1676923.0,0.0,0.0
